City,Commute_Route,Commute_Distance_miles,Commute_Time_mins,Mode_of_Commute,Daily_Cost,Monthly_Cost,Cost_per_Mile,Value_Tier,Carbon_Impact,Best_Value_Rank,Worst_Value_Reason,Avg_Delay_mins,Commute_Type
Glasgow,Paisley - Glasgow,39.7,59,Train,25.05,551.1,0.63,Moderate,16,2,Mild delays,7,Intercity
Nottingham,West Bridgford - Nottingham,31,55,Train,31.06,683.32,1,Expensive,16,4,Long duration,14,Intercity
Birmingham,Solihull - Birmingham,40.6,104,Bus,2.56,56.32,0.06,Expensive,4.3,5,High fare,3,Intercity
Glasgow,East Kilbride - Glasgow,6.4,10,Driving,12.52,275.44,1.96,Expensive,10.3,3,Congestion,13,Urban
Leeds,Bradford - Leeds,16.5,20,Train,11.12,244.64,0.67,Moderate,16.2,4,Mild delays,1,Intercity
Glasgow,East Kilbride - Glasgow,19.4,29,Train,13.81,303.82,0.71,Expensive,13.2,3,High fare,9,Intercity
Leeds,Wakefield - Leeds,35.8,148,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Altrincham - Manchester,8.4,20,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Birmingham,Wolverhampton - Birmingham,7.1,42,Driving,14.92,328.24,2.1,Expensive,11.8,3,Long duration,19,Urban
Manchester,Stockport - Manchester,44,110,Driving,13.23,291.06,0.3,Expensive,8.6,4,High fare,15,Intercity
Bristol,Weston-super-Mare - Bristol,36.8,103,Bus,2.47,54.34,0.07,Expensive,2.1,3,High fare,13,Intercity
London,Slough - London,43.5,66,Driving,17.7,389.4,0.41,Moderate,11.6,3,Moderate fare,17,Intercity
Sheffield,Rotherham - Sheffield,21.4,82,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Bristol,Weston-super-Mare - Bristol,15,19,Train,26.48,582.56,1.77,Expensive,15.1,4,Long duration,7,Suburban
Glasgow,Paisley - Glasgow,31.4,67,Driving,14.56,320.32,0.46,Moderate,9.4,3,Moderate fare,18,Intercity
Birmingham,Solihull - Birmingham,14.9,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Bristol,Bath - Bristol,19.2,26,Train,12.94,284.68,0.67,Moderate,12.9,3,Mild delays,2,Intercity
Liverpool,St Helens - Liverpool,23.9,70,Driving,8.42,185.24,0.35,Cost-Effective,9.5,1,N/A,7,Intercity
Birmingham,Solihull - Birmingham,20.9,85,Bus,2.27,49.94,0.11,Cost-Effective,3.5,2,N/A,6,Intercity
Manchester,Stockport - Manchester,30,109,Bus,5.02,110.44,0.17,Expensive,5.4,4,High fare,15,Intercity
Manchester,Altrincham - Manchester,31.3,60,Driving,14.2,312.4,0.45,Moderate,13.5,4,Moderate fare,11,Intercity
Bristol,Bath - Bristol,28,56,Driving,11.43,251.46,0.41,Moderate,11.1,2,Moderate fare,7,Intercity
Manchester,Altrincham - Manchester,23.3,41,Train,21.58,474.76,0.93,Expensive,17.6,3,Long duration,16,Intercity
Birmingham,Wolverhampton - Birmingham,41.2,124,Bus,3.17,69.74,0.08,Expensive,2.3,5,Congestion,12,Intercity
Glasgow,Paisley - Glasgow,9,10,Train,19.57,430.54,2.17,Expensive,16.4,3,Congestion,2,Suburban
Leeds,Bradford - Leeds,5.9,10,Train,34.43,757.46,5.84,Expensive,10.8,4,Long duration,9,Urban
Edinburgh,Livingston - Edinburgh,9.7,24,Train,36.32,799.04,3.74,Expensive,15.4,3,High fare,7,Suburban
Edinburgh,Livingston - Edinburgh,37.1,133,Bus,3.69,81.18,0.1,Expensive,2.7,3,High fare,8,Intercity
Glasgow,Paisley - Glasgow,35,48,Driving,16.87,371.14,0.48,Moderate,8.7,3,Mild delays,19,Intercity
Liverpool,St Helens - Liverpool,42.2,69,Driving,18.02,396.44,0.43,Moderate,9.4,4,Moderate fare,0,Intercity
Glasgow,East Kilbride - Glasgow,35,98,Bus,7.42,163.24,0.21,Expensive,4,3,Long duration,9,Intercity
Manchester,Altrincham - Manchester,38.1,59,Train,19.6,431.2,0.51,Moderate,17,4,Mild delays,6,Intercity
Bristol,Bath - Bristol,20.6,28,Train,38.5,847,1.87,Expensive,17.5,4,Congestion,13,Intercity
Sheffield,Rotherham - Sheffield,27.9,35,Train,28.96,637.12,1.04,Expensive,12.5,4,Congestion,12,Intercity
Nottingham,West Bridgford - Nottingham,16.7,37,Train,32.57,716.54,1.95,Expensive,15.9,5,Congestion,19,Intercity
Manchester,Altrincham - Manchester,36.6,58,Driving,7.28,160.16,0.2,Cost-Effective,10,1,N/A,18,Intercity
Sheffield,Rotherham - Sheffield,7.3,10,Train,36.63,805.86,5.02,Expensive,11.5,5,Long duration,11,Urban
Bristol,Bath - Bristol,9.7,55,Bus,2.86,62.92,0.29,Cost-Effective,5,1,N/A,16,Suburban
Glasgow,Paisley - Glasgow,29.7,82,Bus,6.93,152.46,0.23,Cost-Effective,4.8,1,N/A,3,Intercity
London,Slough - London,8.3,27,Bus,2.51,55.22,0.3,Cost-Effective,5.9,2,N/A,9,Suburban
Manchester,Altrincham - Manchester,20,77,Bus,7.68,168.96,0.38,Cost-Effective,5.9,2,N/A,18,Intercity
Birmingham,Solihull - Birmingham,35.1,135,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Leeds,Bradford - Leeds,20.1,15,Driving,18.69,411.18,0.93,Expensive,6.9,4,Congestion,5,Intercity
London,Slough - London,24.7,52,Train,10.34,227.48,0.42,Moderate,12.7,4,Mild delays,6,Intercity
Birmingham,Wolverhampton - Birmingham,7.3,29,Driving,14.17,311.74,1.94,Expensive,13.7,4,Congestion,20,Urban
Leeds,Wakefield - Leeds,20,49,Driving,10,220,0.5,Moderate,12.9,2,Mild delays,1,Intercity
Bristol,Weston-super-Mare - Bristol,13.9,28,Driving,19.9,437.8,1.43,Expensive,6.6,3,Long duration,17,Suburban
Leeds,Wakefield - Leeds,27.2,118,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Manchester,Stockport - Manchester,43.8,180,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
London,Slough - London,32.8,104,Bus,4.73,104.06,0.14,Expensive,4.5,4,High fare,4,Intercity
Glasgow,Paisley - Glasgow,28.4,41,Train,28.6,629.2,1.01,Expensive,10.8,5,Congestion,19,Intercity
Liverpool,Birkenhead - Liverpool,12.5,28,Train,23.91,526.02,1.91,Expensive,11.5,5,Congestion,8,Suburban
Birmingham,Wolverhampton - Birmingham,28.3,23,Train,34.41,757.02,1.22,Expensive,14.8,3,Long duration,1,Intercity
Nottingham,West Bridgford - Nottingham,11.5,27,Driving,18.75,412.5,1.63,Expensive,12.6,4,Long duration,9,Suburban
Bristol,Weston-super-Mare - Bristol,43,94,Driving,11.86,260.92,0.28,Expensive,13.5,3,Long duration,18,Intercity
Birmingham,Solihull - Birmingham,39.6,74,Train,11.36,249.92,0.29,Cost-Effective,8.3,1,N/A,14,Intercity
London,Croydon - London,20.1,43,Driving,11.33,249.26,0.56,Moderate,13.8,2,Moderate fare,20,Intercity
Liverpool,St Helens - Liverpool,38.7,64,Driving,17.74,390.28,0.46,Moderate,9.7,3,Moderate fare,5,Intercity
Glasgow,East Kilbride - Glasgow,21.6,41,Driving,18.11,398.42,0.84,Expensive,12.5,3,High fare,9,Intercity
Sheffield,Rotherham - Sheffield,45,89,Driving,19.95,438.9,0.44,Moderate,10.4,3,Moderate fare,18,Intercity
Birmingham,Solihull - Birmingham,35.8,67,Driving,7.81,171.82,0.22,Cost-Effective,13.6,1,N/A,5,Intercity
Birmingham,Wolverhampton - Birmingham,29.2,39,Driving,9.2,202.4,0.32,Cost-Effective,11.4,2,N/A,18,Intercity
London,Reading - London,29.7,76,Bus,6.03,132.66,0.2,Cost-Effective,4.1,1,N/A,17,Intercity
Bristol,Weston-super-Mare - Bristol,35.9,68,Driving,13.28,292.16,0.37,Cost-Effective,12.8,2,N/A,19,Intercity
Sheffield,Rotherham - Sheffield,27.1,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Liverpool,St Helens - Liverpool,21.1,65,Bus,2.8,61.6,0.13,Cost-Effective,2.1,1,N/A,4,Intercity
Manchester,Altrincham - Manchester,35.2,127,Bus,3.28,72.16,0.09,Expensive,2.5,5,Congestion,4,Intercity
Edinburgh,Dunfermline - Edinburgh,5.6,29,Bus,4.1,90.2,0.73,Expensive,4.4,4,High fare,10,Urban
Manchester,Stockport - Manchester,20.7,75,Bus,4.09,89.98,0.2,Cost-Effective,4.1,2,N/A,1,Intercity
London,Croydon - London,36.3,53,Train,21.9,481.8,0.6,Moderate,14.2,3,Moderate fare,11,Intercity
Liverpool,Birkenhead - Liverpool,39.5,59,Train,17.75,390.5,0.45,Moderate,12.6,3,Mild delays,14,Intercity
Birmingham,Solihull - Birmingham,44.2,180,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
London,Croydon - London,24.7,62,Driving,9.36,205.92,0.38,Cost-Effective,6.6,2,N/A,4,Intercity
Nottingham,West Bridgford - Nottingham,10.2,10,Train,13.84,304.48,1.36,Expensive,9.5,5,Long duration,15,Suburban
Leeds,Wakefield - Leeds,10.6,105,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Edinburgh,Dunfermline - Edinburgh,18.8,33,Train,36.9,811.8,1.96,Expensive,12.7,4,High fare,8,Intercity
Nottingham,Beeston - Nottingham,31.7,88,Bus,2.25,49.5,0.07,Cost-Effective,2.7,2,N/A,17,Intercity
Liverpool,Birkenhead - Liverpool,16.1,19,Train,15.31,336.82,0.95,Expensive,8.9,4,High fare,13,Intercity
Birmingham,Wolverhampton - Birmingham,9.8,10,Driving,11.1,244.2,1.13,Expensive,10,3,High fare,20,Suburban
Leeds,Wakefield - Leeds,32.6,46,Train,11.18,245.96,0.34,Cost-Effective,16,1,N/A,1,Intercity
Bristol,Bath - Bristol,30.1,103,Bus,6.49,142.78,0.22,Expensive,2.7,5,High fare,6,Intercity
London,Slough - London,13.4,47,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Liverpool,Birkenhead - Liverpool,19.8,68,Driving,11.16,245.52,0.56,Moderate,9.7,3,Moderate fare,17,Intercity
London,Reading - London,34.9,66,Driving,6.51,143.22,0.19,Cost-Effective,8,1,N/A,12,Intercity
Glasgow,East Kilbride - Glasgow,33.5,50,Train,25.96,571.12,0.77,Expensive,9.1,4,Congestion,12,Intercity
Leeds,Wakefield - Leeds,22.9,44,Train,25.98,571.56,1.13,Expensive,10.4,3,Long duration,19,Intercity
London,Croydon - London,15.8,29,Driving,10.51,231.22,0.67,Moderate,7.7,2,Mild delays,10,Intercity
Birmingham,Solihull - Birmingham,18.1,26,Train,13.59,298.98,0.75,Expensive,16.9,5,Long duration,17,Intercity
Edinburgh,Livingston - Edinburgh,28.7,53,Train,24.95,548.9,0.87,Expensive,8.9,3,Long duration,12,Intercity
Nottingham,West Bridgford - Nottingham,26.5,46,Train,27.61,607.42,1.04,Expensive,15.5,4,High fare,16,Intercity
Birmingham,Solihull - Birmingham,22.3,180,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Birmingham,Wolverhampton - Birmingham,19.5,30,Driving,15.04,330.88,0.77,Expensive,10.6,3,High fare,4,Intercity
Liverpool,St Helens - Liverpool,19.2,29,Train,17.12,376.64,0.89,Expensive,9,4,Long duration,3,Intercity
Liverpool,St Helens - Liverpool,11.1,35,Bus,3.48,76.56,0.31,Cost-Effective,2.6,1,N/A,14,Suburban
Leeds,Wakefield - Leeds,12.5,10,Train,36.9,811.8,2.95,Expensive,8.8,4,High fare,17,Suburban
Bristol,Weston-super-Mare - Bristol,26,33,Train,22.31,490.82,0.86,Expensive,17.8,4,Congestion,2,Intercity
Edinburgh,Dunfermline - Edinburgh,9.5,18,Train,35.97,791.34,3.79,Expensive,16.2,4,Congestion,18,Suburban
Bristol,Weston-super-Mare - Bristol,15.3,22,Train,15.13,332.86,0.99,Expensive,14.7,3,High fare,5,Intercity
Nottingham,Beeston - Nottingham,42.2,108,Driving,9.92,218.24,0.24,Expensive,12.2,4,Congestion,14,Intercity
Leeds,Wakefield - Leeds,12.5,44,Driving,10.53,231.66,0.84,Expensive,9.4,4,Long duration,20,Suburban
Nottingham,West Bridgford - Nottingham,25.3,33,Train,28.32,623.04,1.12,Expensive,10.9,4,Congestion,2,Intercity
London,Slough - London,28.2,39,Train,14.63,321.86,0.52,Moderate,12.8,4,Moderate fare,5,Intercity
Sheffield,Rotherham - Sheffield,26.3,37,Train,14.03,308.66,0.53,Moderate,8.6,4,Moderate fare,18,Intercity
Bristol,Weston-super-Mare - Bristol,44.6,127,Bus,3.93,86.46,0.09,Expensive,5.2,5,High fare,0,Intercity
Bristol,Bath - Bristol,15.2,71,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Nottingham,West Bridgford - Nottingham,28.8,50,Train,24.15,531.3,0.84,Expensive,12.1,5,High fare,20,Intercity
Edinburgh,Livingston - Edinburgh,19,40,Driving,8.54,187.88,0.45,Moderate,6.5,4,Mild delays,16,Intercity
Birmingham,Wolverhampton - Birmingham,34.6,70,Driving,14.04,308.88,0.41,Moderate,12.7,4,Mild delays,17,Intercity
Manchester,Altrincham - Manchester,10.6,10,Train,14.91,328.02,1.41,Expensive,9.6,3,Long duration,14,Suburban
Bristol,Weston-super-Mare - Bristol,37.6,62,Train,29.96,659.12,0.8,Expensive,13.2,5,Congestion,18,Intercity
Birmingham,Solihull - Birmingham,19.4,35,Driving,17.43,383.46,0.9,Expensive,9.5,5,Long duration,3,Intercity
Sheffield,Chesterfield - Sheffield,20.1,51,Driving,12.48,274.56,0.62,Moderate,8.4,2,Mild delays,10,Intercity
Bristol,Bath - Bristol,34.9,80,Bus,7.4,162.8,0.21,Cost-Effective,3.5,2,N/A,9,Intercity
Nottingham,West Bridgford - Nottingham,26.7,40,Train,37.19,818.18,1.39,Expensive,14.2,3,High fare,8,Intercity
London,Slough - London,9.7,31,Bus,4.01,88.22,0.41,Moderate,2.6,2,Mild delays,16,Suburban
Manchester,Stockport - Manchester,36.8,118,Bus,5.72,125.84,0.16,Expensive,4.1,5,Congestion,18,Intercity
Bristol,Weston-super-Mare - Bristol,40.8,158,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Edinburgh,Livingston - Edinburgh,17.5,74,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Leeds,Bradford - Leeds,14.9,47,Driving,18.27,401.94,1.23,Expensive,8.7,5,Congestion,20,Suburban
Birmingham,Wolverhampton - Birmingham,37.9,60,Train,13.32,293.04,0.35,Cost-Effective,16.5,2,N/A,0,Intercity
London,Croydon - London,10.1,53,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Liverpool,Birkenhead - Liverpool,11,12,Train,16.88,371.36,1.53,Expensive,15.2,4,Long duration,6,Suburban
Edinburgh,Dunfermline - Edinburgh,33.8,122,Bus,5.26,115.72,0.16,Expensive,3,4,Congestion,12,Intercity
Edinburgh,Livingston - Edinburgh,18.8,38,Train,15.45,339.9,0.82,Expensive,17.1,4,Long duration,18,Intercity
Birmingham,Solihull - Birmingham,28.3,45,Driving,19.26,423.72,0.68,Moderate,7.2,2,Moderate fare,9,Intercity
Nottingham,Beeston - Nottingham,28.4,50,Bus,5.04,110.88,0.18,Cost-Effective,4.4,2,N/A,18,Intercity
Glasgow,East Kilbride - Glasgow,5.7,32,Driving,18.91,416.02,3.32,Expensive,11.7,5,Long duration,8,Urban
Liverpool,Birkenhead - Liverpool,11.1,22,Train,27.29,600.38,2.46,Expensive,14.1,5,Congestion,8,Suburban
Manchester,Altrincham - Manchester,22,68,Bus,7.55,166.1,0.34,Cost-Effective,3.8,1,N/A,20,Intercity
Edinburgh,Livingston - Edinburgh,9.5,15,Train,39.55,870.1,4.16,Expensive,16.4,3,Congestion,19,Suburban
Edinburgh,Dunfermline - Edinburgh,10,50,Driving,11.59,254.98,1.16,Expensive,6.4,3,High fare,11,Suburban
Liverpool,St Helens - Liverpool,18.4,32,Train,34.09,749.98,1.85,Expensive,8,5,Long duration,5,Intercity
Sheffield,Rotherham - Sheffield,18.3,46,Driving,18.88,415.36,1.03,Expensive,8.8,5,Congestion,11,Intercity
Nottingham,West Bridgford - Nottingham,18.9,10,Train,32.13,706.86,1.7,Expensive,12.5,3,Long duration,19,Intercity
Bristol,Weston-super-Mare - Bristol,14,10,Train,15.29,336.38,1.09,Expensive,13,3,Congestion,6,Suburban
Glasgow,East Kilbride - Glasgow,21.8,85,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Glasgow,East Kilbride - Glasgow,41.6,96,Driving,14.85,326.7,0.36,Expensive,6.1,4,Long duration,4,Intercity
Birmingham,Wolverhampton - Birmingham,31.5,28,Train,15.34,337.48,0.49,Moderate,17.6,2,Mild delays,7,Intercity
Glasgow,East Kilbride - Glasgow,10.9,10,Train,39.91,878.02,3.66,Expensive,13,3,High fare,19,Suburban
Manchester,Altrincham - Manchester,28.8,41,Train,12.01,264.22,0.42,Moderate,15.5,4,Moderate fare,2,Intercity
Edinburgh,Livingston - Edinburgh,13.4,38,Bus,3.14,69.08,0.23,Cost-Effective,2.1,2,N/A,9,Suburban
Liverpool,Birkenhead - Liverpool,23.9,37,Train,26.95,592.9,1.13,Expensive,8.7,3,High fare,11,Intercity
Manchester,Altrincham - Manchester,36,67,Train,23.22,510.84,0.65,Moderate,12,3,Mild delays,7,Intercity
London,Croydon - London,27.4,42,Bus,2.93,64.46,0.11,Cost-Effective,2.7,1,N/A,18,Intercity
Liverpool,Birkenhead - Liverpool,39.5,77,Driving,9.79,215.38,0.25,Cost-Effective,11.2,2,N/A,5,Intercity
Sheffield,Rotherham - Sheffield,21.3,37,Train,10.76,236.72,0.51,Moderate,9.6,4,Mild delays,6,Intercity
Sheffield,Chesterfield - Sheffield,33.6,133,Cycling,0,0,0,Cost-Effective,0,1,N/A,0,Intercity
Bristol,Bath - Bristol,13.9,21,Train,16.93,372.46,1.22,Expensive,14.7,5,Long duration,3,Suburban
Glasgow,East Kilbride - Glasgow,5.8,12,Driving,8.5,187,1.47,Expensive,11.2,5,Congestion,1,Urban
Manchester,Stockport - Manchester,14.5,171,Walking,0,0,0,Cost-Effective,0,1,N/A,0,Suburban
Edinburgh,Dunfermline - Edinburgh,9,39,Bus,7.13,156.86,0.79,Expensive,5.3,3,High fare,10,Suburban
Manchester,Altrincham - Manchester,20.9,21,Train,30.04,660.88,1.44,Expensive,10,3,High fare,11,Intercity
Nottingham,Beeston - Nottingham,16.7,13,Driving,18.5,407,1.11,Expensive,12.5,3,Congestion,16,Intercity
London,Reading - London,18.7,58,Driving,9.63,211.86,0.51,Moderate,9,2,Mild delays,15,Intercity
Glasgow,Paisley - Glasgow,28.6,50,Train,22.28,490.16,0.78,Expensive,13.5,5,Congestion,16,Intercity
Liverpool,Birkenhead - Liverpool,22.4,19,Train,18.83,414.26,0.84,Expensive,17.5,4,High fare,2,Intercity
Edinburgh,Dunfermline - Edinburgh,35.5,82,Driving,17.2,378.4,0.48,Moderate,9.4,3,Moderate fare,20,Intercity
Leeds,Bradford - Leeds,5.9,11,Driving,9.76,214.72,1.65,Expensive,10.3,3,High fare,10,Urban
